album_id,artist_id,artist,album_name,album_label,album_popularity,album_release_date,album_images.url
0Qe1x6jUzZMknaglDsz69T,1PHz9tBsAlizVFqzFVSmlk,Afro Kolektyw,46 Minut Sodomy,Universal Music Polska Sp. z o.o.,15,2014-01-01,https://i.scdn.co/image/ab67616d0000b2731fd1c5091e597dddaec0a6e4
7iZ2fgKBeoR9IW9f0Dolr0,1PHz9tBsAlizVFqzFVSmlk,Afro Kolektyw,Piosenki Po Polsku,Universal Music Polska Sp. z o.o.,19,2012-01-01,https://i.scdn.co/image/ab67616d0000b273068c4d37b9cd20706f486e46
3Y1u8wVxI0hOTbZupN4jvp,1PHz9tBsAlizVFqzFVSmlk,Afro Kolektyw,Połącz kropki,Wytwórnia Krajowa,16,2008-11-10,https://i.scdn.co/image/ab67616d0000b273b5f9e0e3b65141f68d9040d9
2dURAH3fhLP9D7wQL1uWI8,1PHz9tBsAlizVFqzFVSmlk,Afro Kolektyw,Czarno widzę,Wytwórnia Krajowa,17,2006-02-20,https://i.scdn.co/image/ab67616d0000b2731eb6b2def32001389fa13255
41OLJSiOmkSANMUWfOUOCh,1PHz9tBsAlizVFqzFVSmlk,Afro Kolektyw,Płyta pilśniowa,Wytwórnia Krajowa,23,2001-12-10,https://i.scdn.co/image/ab67616d0000b273c7a1c90007e6aaf2a515102e
7oid6LbHAwAKEuIWdvVZfz,4BnvoIMvhLok27tzSxl4Yq,Afront,Coraz Gorzej,Asfalt Records,13,2006-11-17,https://i.scdn.co/image/ab67616d0000b273e1f7b429457d9c9ffe822180
6QYalNmNU5ur3zRl0zgOdo,4BnvoIMvhLok27tzSxl4Yq,Afront,A Miało Być Tak Pięknie,Asfalt Records,18,2004-06-07,https://i.scdn.co/image/ab67616d0000b273d758f46100a0802485d04034
3tnrA8DDlYPfRdPxKPAG5O,0LX2VNf5w4iOHW1yyIqb74,Bedoes,Opowieści z Doliny Smoków,SBM Label,73,2019-11-29,https://i.scdn.co/image/ab67616d0000b2735d93e7aeed369e859e5650ac
0iymtVByyJSutVk2Mj4eSu,0LX2VNf5w4iOHW1yyIqb74,Bedoes,Kwiat polskiej młodzieży,SBM Label,67,2018-11-30,https://i.scdn.co/image/ab67616d0000b2736ad2b44dc82389b1d05c14bc
6rWAKiK4PQBGLFgbsX7PsG,0LX2VNf5w4iOHW1yyIqb74,Bedoes,Aby śmierć miała znaczenie,SBM Label,54,2017-02-17,https://i.scdn.co/image/ab67616d0000b2733bca0fe0026bd1c34bd1e0a1
0W9EoUkBfk3ORR05zCUW63,0LX2VNf5w4iOHW1yyIqb74,Bedoes,Marzenia,MyMusic,47,2020-06-12,https://i.scdn.co/image/ab67616d0000b27374ca7329ee0ad163fd439ea6
